TIMESTAMP,EST_ACT_Diff,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION,USER_VENUE_DIST,DayOfWeek,user_coordinates,venue_coordinates,venue_postal_code,user_postal_code,source_of_order_pcode
2020-08-01 11:23:00,4,1,60.189,24.955,60.195,24.957,26,30,0.0,18.9,3.40731,0.0,0.6776383631381463,Saturday,"(60.189, 24.955)","(60.195, 24.957)",00550,00500,OUT
2020-08-01 11:23:00,-3,1,60.171,24.929,60.173,24.929,26,23,0.0,18.9,3.40731,0.0,0.22283041125608863,Saturday,"(60.171, 24.929)","(60.173, 24.929)",00100,00100,IN
2020-08-01 11:24:00,8,5,60.16,24.942,60.169,24.941,30,38,0.0,18.9,3.40731,0.0,1.004271713536176,Saturday,"(60.16, 24.942)","(60.169, 24.941)",00100,00150,OUT
2020-08-01 11:26:00,-2,1,60.186,24.92,60.189,24.917,24,22,0.0,18.9,3.40731,0.0,0.3733990856485044,Saturday,"(60.186, 24.92)","(60.189, 24.917)",00250,00250,IN
2020-08-01 11:26:00,8,2,60.158,24.922,60.167,24.938,30,38,0.0,18.9,3.40731,0.0,1.3396883269592417,Saturday,"(60.158, 24.922)","(60.167, 24.938)",00100,00220,OUT
2020-08-01 11:26:00,20,2,60.189,24.915,60.181,24.925,29,49,0.0,18.9,3.40731,0.0,1.0499290872047813,Saturday,"(60.189, 24.915)","(60.181, 24.925)",00260,00250,OUT
2020-08-01 11:27:00,-5,1,60.193,24.955,60.188,24.983,33,28,0.0,18.9,3.40731,0.0,1.6502771047090887,Saturday,"(60.193, 24.955)","(60.188, 24.983)",00580,00510,OUT
2020-08-01 11:28:00,-5,1,60.17,24.92,60.168,24.93,30,25,0.0,18.9,3.40731,0.0,0.5982028519750445,Saturday,"(60.17, 24.92)","(60.168, 24.93)",00100,00100,IN
2020-08-01 11:29:00,-12,1,60.185,24.947,60.188,24.96,26,14,0.0,18.9,3.40731,0.0,0.7949927523958559,Saturday,"(60.185, 24.947)","(60.188, 24.96)",00500,00530,OUT
2020-08-01 11:31:00,16,4,60.184,24.96,60.178,24.949,25,41,0.0,18.9,3.40731,0.0,0.9052754973458433,Saturday,"(60.184, 24.96)","(60.178, 24.949)",00530,00530,IN
2020-08-01 11:36:00,0,1,60.185,24.943,60.169,24.945,34,34,0.0,18.9,3.40731,0.0,1.786097328898529,Saturday,"(60.185, 24.943)","(60.169, 24.945)",00100,00530,OUT
2020-08-01 11:39:00,1,1,60.155,24.914,60.165,24.933,31,32,0.0,18.9,3.40731,0.0,1.5344434357097416,Saturday,"(60.155, 24.914)","(60.165, 24.933)",00180,00220,OUT
2020-08-01 11:41:00,-7,3,60.163,24.913,60.159,24.918,26,19,0.0,18.9,3.40731,0.0,0.525070179152077,Saturday,"(60.163, 24.913)","(60.159, 24.918)",00220,00180,OUT
2020-08-01 11:45:00,0,1,60.158,24.915,60.157,24.921,30,30,0.0,18.9,3.40731,0.0,0.3513409076782384,Saturday,"(60.158, 24.915)","(60.157, 24.921)",00220,00220,IN
2020-08-01 11:46:00,9,2,60.194,24.963,60.19,24.956,24,33,0.0,18.9,3.40731,0.0,0.5911162836192225,Saturday,"(60.194, 24.963)","(60.19, 24.956)",00500,00550,OUT
2020-08-01 11:47:00,-13,2,60.155,24.911,60.151,24.885,32,19,0.0,18.9,3.40731,0.0,1.5112991985924724,Saturday,"(60.155, 24.911)","(60.151, 24.885)",00210,00220,OUT
2020-08-01 11:47:00,3,1,60.179,24.925,60.181,24.925,30,33,0.0,18.9,3.40731,0.0,0.22283068222259791,Saturday,"(60.179, 24.925)","(60.181, 24.925)",00260,00260,IN
2020-08-01 11:49:00,5,1,60.18,24.925,60.183,24.923,37,42,0.0,18.9,3.40731,0.0,0.3521914587314091,Saturday,"(60.18, 24.925)","(60.183, 24.923)",00250,00260,OUT
2020-08-01 11:51:00,-7,1,60.188,24.946,60.194,24.956,28,21,0.0,18.9,3.40731,0.0,0.868714251906557,Saturday,"(60.188, 24.946)","(60.194, 24.956)",00510,00510,IN
2020-08-01 11:56:00,-7,1,60.168,24.927,60.169,24.93,31,24,0.0,18.9,3.40731,0.0,0.2003785797332079,Saturday,"(60.168, 24.927)","(60.169, 24.93)",00100,00100,IN
2020-08-01 11:58:00,-7,6,60.185,24.911,60.167,24.94,39,32,0.0,18.9,3.40731,0.0,2.5715233937072397,Saturday,"(60.185, 24.911)","(60.167, 24.94)",00100,00250,OUT
2020-08-01 12:00:00,-5,1,60.183,24.954,60.188,24.956,23,18,45.0,20.0,2.9208,0.0,0.5680231925861378,Saturday,"(60.183, 24.954)","(60.188, 24.956)",00500,00530,OUT
